# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Tue Apr 14 14:17:26 2020
#
# User preference: *
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbeccen:    Eccentricity
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_mass:        Stellar Mass [Solar mass]
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
#
pl_hostname,pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,pl_radj,st_teff,st_mass,st_rad,st_lum
47 UMa,47 UMa b,1078.00000000,2.100000,0.032000,2.53000,,5892.00,1.03,1.23,
47 UMa,47 UMa c,2391.00000000,3.600000,0.098000,0.54000,,5892.00,1.03,1.23,
47 UMa,47 UMa d,14002.00000000,11.600000,0.160000,1.64000,,5892.00,1.03,1.23,
51 Eri,51 Eri b,11688.00000000,12.000000,0.450000,,,,1.75,,0.850
51 Peg,51 Peg b,4.23078500,0.052700,0.013000,0.47200,,5793.00,1.12,1.20,
55 Cnc,55 Cnc b,14.65152000,0.115227,0.003400,0.83060,,5196.00,0.91,0.94,-0.235
55 Cnc,55 Cnc c,44.41750000,0.241376,0.020000,0.17140,,5196.00,0.91,0.94,-0.235
55 Cnc,55 Cnc d,4825.00000000,5.503000,0.019000,3.87800,,5196.00,0.91,0.94,-0.235
55 Cnc,55 Cnc e,0.73653900,0.015440,,0.02542,0.170,5196.00,0.91,0.94,-0.235
55 Cnc,55 Cnc f,262.00000000,0.788000,0.305000,0.14100,,5196.00,0.91,0.94,-0.235
6 Lyn,6 Lyn b,934.30000000,2.110000,0.073000,2.01000,,4938.00,1.44,5.20,
61 Vir,61 Vir b,4.21500000,0.050201,0.120000,0.01600,,5577.00,0.94,0.96,-0.095
61 Vir,61 Vir c,38.02100000,0.217500,0.140000,0.05700,,5577.00,0.94,0.96,-0.095
61 Vir,61 Vir d,123.01000000,0.476000,0.350000,0.07200,,5577.00,0.94,0.96,-0.095
7 CMa,7 CMa b,735.10000000,1.758000,0.060000,1.85000,,4826.00,1.34,4.87,1.063
7 CMa,7 CMa c,996.00000000,2.153000,0.080000,0.87000,,4826.00,1.34,4.87,1.063
70 Vir,70 Vir b,116.68800000,0.481000,0.398800,7.41600,,5495.00,1.09,1.89,
75 Cet,75 Cet b,691.90000000,2.100000,0.117000,3.00000,,4846.00,2.49,10.50,1.730
8 UMi,8 UMi b,93.40000000,0.490000,0.060000,1.31000,,4847.00,1.44,10.30,
81 Cet,81 Cet b,952.70000000,2.500000,0.206000,5.30000,,4785.00,2.40,11.00,1.778
91 Aqr,91 Aqr b,181.40000000,0.700000,0.027000,3.20000,,4665.00,1.40,11.00,
AB Pic,AB Pic b,,260.000000,,13.50000,,,,,
BD+03 2562,BD+03 2562 b,481.90000000,1.300000,0.200000,6.40000,,4095.00,1.14,32.35,2.700
BD+14 4559,BD+14 4559 b,268.94000000,0.780000,0.290000,1.04000,,4864.00,0.49,0.86,
BD+15 2375,BD+15 2375 b,153.22000000,0.576000,0.001000,1.06100,,4649.00,1.08,8.95,1.570
BD+15 2940,BD+15 2940 b,137.48000000,0.539000,0.260000,1.11000,,4796.00,1.10,14.70,2.010
BD+20 2457,BD+20 2457 b,379.63000000,1.050000,0.150000,55.59000,,4259.00,10.83,71.02,
BD+20 2457,BD+20 2457 c,621.99000000,2.010000,0.180000,12.47000,,4259.00,10.83,71.02,
BD+20 274,BD+20 274 b,578.20000000,1.300000,0.210000,4.20000,,4296.00,0.80,17.30,1.960
BD+20 594,BD+20 594 b,41.68550000,,0.000000,0.07000,0.230,5766.00,1.67,1.08,
BD+48 738,BD+48 738 b,392.60000000,1.000000,0.200000,0.91000,,4414.00,0.74,11.00,1.690
BD+48 740,BD+48 740 b,733.00000000,1.700000,0.760000,1.70000,,4534.00,1.09,10.33,1.640
BD+49 828,BD+49 828 b,2590.00000000,4.200000,0.350000,1.60000,,4943.00,1.52,7.60,1.470
BD-06 1339,BD-06 1339 b,3.87280000,0.042800,0.000000,0.02700,,4324.00,0.70,,-1.022
BD-06 1339,BD-06 1339 c,125.94000000,0.435000,0.310000,0.17000,,4324.00,0.70,,-1.022
BD-08 2823,BD-08 2823 b,5.60000000,0.060000,0.150000,0.04000,,4816.00,0.50,0.71,
BD-08 2823,BD-08 2823 c,237.60000000,0.680000,0.190000,0.33000,,4816.00,0.50,0.71,
BD-10 3166,BD-10 3166 b,3.48777000,0.040000,0.020000,0.59000,,5393.00,1.47,0.91,
BD-11 4672,BD-11 4672 b,1667.00000000,2.280000,0.050000,0.53000,,4475.00,0.57,0.52,
BD-13 2130,BD-13 2130 b,714.29999000,1.660000,0.210000,9.78000,,4545.00,2.12,19.17,
BD-17 63,BD-17 63 b,655.60000000,1.340000,0.540000,5.10000,,4714.00,0.74,0.69,-0.678
CFBDSIR J145829+101343,CFBDSIR J145829+101343 b,10037.50000000,2.600000,,10.50000,,580.50,0.02,,
CHXR 73,CHXR 73 b,,210.000000,,12.56900,,,0.35,,
CI Tau,CI Tau b,8.98910000,,0.250000,11.60000,,,0.90,,-0.108
CT Cha,CT Cha b,,440.000000,,17.00000,2.200,,,,
CoRoT-1,CoRoT-1 b,1.50895570,,0.000000,1.03000,1.490,5950.00,0.95,1.11,
CoRoT-10,CoRoT-10 b,13.24060000,0.105500,0.530000,2.75000,0.970,5075.00,0.89,0.79,
CoRoT-11,CoRoT-11 b,2.99433000,0.043600,0.000000,2.33000,1.430,6440.00,1.27,1.37,
CoRoT-12,CoRoT-12 b,2.82804200,0.040160,0.070000,0.91700,1.440,5675.00,1.08,1.12,
CoRoT-13,CoRoT-13 b,4.03519000,0.051000,0.000000,1.30800,0.885,5945.00,1.09,1.01,
CoRoT-14,CoRoT-14 b,1.51214000,0.027000,0.000000,7.60000,1.090,6035.00,1.13,1.21,
CoRoT-16,CoRoT-16 b,5.35227000,0.061800,0.330000,0.53500,1.170,5650.00,1.10,1.19,
CoRoT-17,CoRoT-17 b,3.76810000,0.046100,0.000000,2.43000,1.020,5740.00,1.04,1.59,
CoRoT-18,CoRoT-18 b,1.90006930,0.029500,0.080000,3.47000,1.310,5440.00,0.95,1.00,
CoRoT-19,CoRoT-19 b,3.89713000,0.051800,0.047000,1.11000,1.290,6090.00,1.21,1.65,0.544
CoRoT-2,CoRoT-2 b,1.74299350,0.027980,0.014300,3.47000,1.466,5625.00,0.96,0.91,
CoRoT-20,CoRoT-20 b,9.24285000,0.090000,0.590000,4.30000,,,1.14,,
CoRoT-20,CoRoT-20 c,1675.00000000,2.900000,0.600000,17.00000,,,1.14,,
CoRoT-21,CoRoT-21 b,2.72474000,0.041700,0.000000,2.26000,1.300,6200.00,1.29,1.95,
CoRoT-22,CoRoT-22 b,9.75598000,0.092000,0.077000,0.03800,0.435,5939.00,1.10,1.14,
CoRoT-23,CoRoT-23 b,3.63130000,0.048000,0.160000,2.80000,1.050,5900.00,1.14,1.61,
CoRoT-24,CoRoT-24 b,5.11340000,0.056000,0.000000,0.01800,0.330,4950.00,0.91,0.86,
CoRoT-24,CoRoT-24 c,11.75900000,0.098000,0.000000,0.08800,0.440,4950.00,0.91,0.86,
CoRoT-25,CoRoT-25 b,4.86069000,0.057800,0.000000,0.27000,1.080,6040.00,1.09,1.19,
CoRoT-26,CoRoT-26 b,4.20474000,0.052600,0.000000,0.52000,1.260,5590.00,1.09,1.79,
CoRoT-27,CoRoT-27 b,3.57532000,0.047600,0.065000,10.39000,1.007,5900.00,1.05,1.08,
CoRoT-28,CoRoT-28 b,5.20851000,0.060300,0.047000,0.48400,0.955,5150.00,1.01,1.78,
CoRoT-29,CoRoT-29 b,2.85057000,0.038600,0.082000,0.85000,0.900,5260.00,0.97,0.90,
CoRoT-3,CoRoT-3 b,4.25680000,,0.000000,21.66000,1.010,6740.00,1.37,1.56,
CoRoT-4,CoRoT-4 b,9.20205000,0.090000,0.000000,0.72000,1.190,6190.00,1.16,1.17,
CoRoT-5,CoRoT-5 b,4.03789620,0.049470,0.090000,0.46700,1.388,6100.00,1.00,1.19,
CoRoT-6,CoRoT-6 b,8.88659300,0.085500,0.100000,2.96000,1.166,6090.00,1.05,1.02,
CoRoT-7,CoRoT-7 b,0.85359163,,0.000000,0.01000,0.150,5275.00,0.82,0.83,
CoRoT-7,CoRoT-7 c,3.69800000,0.046000,0.000000,0.02643,,5275.00,0.82,0.83,
CoRoT-8,CoRoT-8 b,6.21229000,0.063000,0.000000,0.22000,0.570,5080.00,0.88,0.77,
CoRoT-9,CoRoT-9 b,95.27265600,0.402100,0.133000,0.84000,1.066,5625.00,0.96,0.96,
CoRoTID 223977153,CoRoTID 223977153 b,6.71837000,0.071000,,0.15000,0.570,5970.00,1.08,0.79,-0.155
DE CVn,DE CVn b,4098.10000000,5.750000,0.000000,12.02930,,,0.51,,
DENIS-P J082303.1-491201,DENIS-P J082303.1-491201 b,246.36000000,0.360000,0.345000,28.50000,,,0.07,,
DH Tau,DH Tau b,,330.000000,,11.00000,,,0.33,0.27,
DMPP-1,DMPP-1 b,18.57000000,0.146200,0.083000,0.07636,,6196.00,1.21,1.26,
DMPP-1,DMPP-1 c,6.58400000,0.073300,0.057000,0.03020,,6196.00,1.21,1.26,
DMPP-1,DMPP-1 d,2.88200000,0.042200,0.070000,0.01054,,6196.00,1.21,1.26,
DMPP-1,DMPP-1 e,5.51600000,0.065100,0.070000,0.01299,,6196.00,1.21,1.26,
DMPP-2,DMPP-2 b,5.20720000,0.066400,0.078000,0.43700,,6500.00,1.44,1.78,0.104
DMPP-3 A,DMPP-3 A b,6.67320000,0.066200,0.140000,0.00812,,5138.00,0.87,0.91,
DP Leo,DP Leo b,10220.00000000,8.190000,0.390000,6.05000,,13500.00,,0.01,
DS Tuc A,DS Tuc A b,8.13826800,,0.000000,,0.509,5428.00,1.01,0.96,-0.140
EPIC 201238110,EPIC 201238110 b,28.16560000,,,,0.167,,0.41,,
EPIC 201497682,EPIC 201497682 b,2.13174000,,,,0.062,,0.78,,
K2-166,EPIC 201615463 c,3.80464000,,,,0.109,,1.07,,
K2-16,EPIC 201754305 d,2.71578000,,,,0.092,,0.67,,
K2-50,EPIC 201833600 c,3.96151000,,,,0.089,,0.61,,
EPIC 201841433,EPIC 201841433 b,4.16959000,,,,0.098,,0.80,,
K2-168,EPIC 205950854 c,8.05072200,,,,0.117,5502.70,0.88,0.83,
EPIC 206024342,EPIC 206024342 b,4.50756000,,,,0.152,,0.93,,
EPIC 206032309,EPIC 206032309 b,2.87814000,,,,0.090,,0.22,,
EPIC 206042996,EPIC 206042996 b,5.29711000,,,,0.145,,0.56,,
EPIC 206215704,EPIC 206215704 b,2.25372000,,,,0.080,,0.41,,
EPIC 206317286,EPIC 206317286 b,1.58252000,,,,0.086,,0.71,,
EPIC 211822797,EPIC 211822797 b,21.16986100,0.131000,0.060000,,0.177,4148.21,0.66,0.57,
EPIC 211945201,EPIC 211945201 b,19.49221000,0.149300,,,0.514,6069.00,1.17,1.39,
EPIC 212297394,EPIC 212297394 b,2.28943000,,,,0.118,,0.83,,
EPIC 212424622,EPIC 212424622 b,18.09830000,,,,0.194,,1.11,,
EPIC 212499991,EPIC 212499991 b,34.88500000,,,,0.143,,0.91,,
EPIC 212587672,EPIC 212587672 b,15.28410000,,,,0.100,,0.95,,
EPIC 212737443,EPIC 212737443 b,13.60300000,0.098000,0.200000,,0.231,4684.00,0.69,0.67,
EPIC 212737443,EPIC 212737443 c,65.55000000,0.280000,0.200000,,0.240,4684.00,0.69,0.67,
K2-282,EPIC 220554210 c,0.70531000,,,,0.132,,0.94,,
EPIC 220674823,EPIC 220674823 b,0.57133100,0.013400,,,0.162,5617.00,0.97,0.98,
EPIC 220674823,EPIC 220674823 c,13.33907900,0.109100,,,0.244,5617.00,0.97,0.98,
EPIC 246851721,EPIC 246851721 b,6.18023500,0.072290,,3.00000,1.051,6202.00,1.32,1.59,0.526
EPIC 248847494,EPIC 248847494 b,3650.00000000,4.500000,0.000000,13.00000,1.110,4898.00,0.90,2.70,
EPIC 249893012,EPIC 249893012 b,3.59510000,0.047000,0.060000,0.02753,0.174,5430.00,1.05,1.71,
EPIC 249893012,EPIC 249893012 c,15.62400000,0.130000,0.070000,0.04616,0.327,5430.00,1.05,1.71,
EPIC 249893012,EPIC 249893012 d,35.74700000,0.220000,0.150000,0.03203,0.352,5430.00,1.05,1.71,
FU Tau,FU Tau b,,800.000000,,16.00000,,2838.00,0.05,,-0.699
Fomalhaut,Fomalhaut b,555530.00000000,160.000000,0.870000,,,,1.92,,
G 9-40,G 9-40 b,5.74600700,0.038500,0.000000,,0.181,3348.00,0.29,0.31,-1.971
GJ 1061,GJ 1061 b,3.20400000,0.021000,0.310000,0.00431,,2953.00,0.12,0.16,-2.770
GJ 1061,GJ 1061 c,6.68900000,0.035000,0.290000,0.00547,,2953.00,0.12,0.16,-2.770
GJ 1061,GJ 1061 d,13.03100000,0.054000,0.530000,0.00516,,2953.00,0.12,0.16,-2.770
GJ 1132,GJ 1132 b,1.62893100,0.015300,0.220000,0.00522,,3270.00,0.18,0.21,-2.359
GJ 1132,GJ 1132 c,8.92900000,0.047600,0.270000,0.00831,,3270.00,0.18,0.21,-2.359
GJ 1148,GJ 1148 b,41.38000000,0.166000,0.380000,0.30425,,3264.00,0.35,0.40,-1.699
GJ 1148,GJ 1148 c,532.58000000,0.912000,0.342000,0.21414,,3264.00,0.35,0.40,-1.699
GJ 1214,GJ 1214 b,1.58040456,0.014110,,0.01970,0.254,3026.00,0.15,0.22,
GJ 1252,GJ 1252 b,0.51823490,0.009160,0.000000,0.00658,0.106,3458.00,0.38,0.39,-1.708
GJ 1265,GJ 1265 b,3.65110000,0.026000,0.040000,0.02328,,3236.00,0.18,0.19,-2.439
GJ 143,GJ 143 b,35.61253000,0.191500,0.188000,0.07142,0.233,4640.00,0.73,0.69,-0.686
GJ 15 A,GJ 15 A b,11.44070000,0.072000,0.094000,0.00953,,3607.00,0.38,0.38,-1.655
GJ 15 A,GJ 15 A c,7600.00000000,5.400000,0.270000,0.11327,,3607.00,0.38,0.38,-1.655
GJ 160.2,GJ 160.2 b,5.23540000,0.053000,0.060000,0.03209,,4347.00,0.69,,-0.796
GJ 163,GJ 163 b,8.63182000,0.060700,0.073000,0.03335,,3500.00,0.40,,-1.708
GJ 163,GJ 163 c,25.63058000,0.125400,0.099000,0.02140,,3500.00,0.40,,-1.708
GJ 163,GJ 163 d,603.95116000,1.030400,0.373000,0.09250,,3500.00,0.40,,-1.708
GJ 179,GJ 179 b,2288.00000000,2.410000,0.210000,0.82000,,3370.00,0.36,0.38,-1.796
GJ 180,GJ 180 b,17.13300000,0.092000,0.070000,0.02042,,,0.43,,
GJ 180,GJ 180 c,24.32900000,0.129000,0.090000,0.02014,,,0.43,,
GJ 180,GJ 180 d,106.30000000,0.309000,0.140000,0.02379,,,0.43,,
GJ 229,GJ 229 A c,121.99500000,0.339000,0.190000,0.02287,,,0.58,,
GJ 229,GJ 229 b,526.11500000,0.898000,0.100000,0.02667,,,0.58,,
GJ 27.1,GJ 27.1 b,15.81900000,0.101000,0.080000,0.04090,,3542.00,0.53,,-1.585
GJ 273,GJ 273 b,18.64980000,0.091101,0.100000,0.00909,,3382.00,0.29,0.29,-2.056
GJ 273,GJ 273 c,4.72340000,0.036467,0.170000,0.00371,,3382.00,0.29,0.29,-2.056
GJ 3021,GJ 3021 b,133.71000000,0.490000,0.511000,3.37000,,5540.00,0.90,0.90,-0.180
GJ 3082,GJ 3082 b,11.94900000,0.079000,0.220000,0.02580,,,0.47,,
GJ 3138,GJ 3138 b,1.22003000,0.019700,0.190000,0.00560,,3717.00,0.68,0.50,-1.347
GJ 3138,GJ 3138 c,5.97400000,0.057000,0.110000,0.01315,,3717.00,0.68,0.50,-1.347
GJ 3138,GJ 3138 d,257.80000000,0.698000,0.320000,0.03304,,3717.00,0.68,0.50,-1.347
GJ 317,GJ 317 b,692.00000000,1.150000,0.110000,2.50000,,3510.00,0.42,,
GJ 317,GJ 317 c,5312.00000000,,0.308000,1.54000,,3510.00,0.42,,
GJ 328,GJ 328 b,4100.00000000,4.500000,0.370000,2.30000,,3900.00,0.69,,
GJ 3293,GJ 3293 b,30.59870000,0.143390,0.060000,0.07406,,3466.00,0.42,0.40,-1.658
GJ 3293,GJ 3293 c,122.61960000,0.361750,0.110000,0.06636,,3466.00,0.42,0.40,-1.658
GJ 3293,GJ 3293 d,48.13450000,0.193940,0.120000,0.02391,,3466.00,0.42,0.40,-1.658
GJ 3293,GJ 3293 e,13.25430000,0.082080,0.210000,0.01032,,3466.00,0.42,0.40,-1.658
GJ 3323,GJ 3323 b,5.36360000,0.032820,0.230000,0.00636,,3159.00,0.16,0.12,-2.569
GJ 3323,GJ 3323 c,40.54000000,0.126400,0.170000,0.00727,,3159.00,0.16,0.12,-2.569
GJ 3341,GJ 3341 b,14.20700000,0.089000,0.310000,0.02080,,3526.00,0.47,0.44,-1.538
GJ 3470,GJ 3470 b,3.33664960,0.035500,,0.04373,0.408,3600.00,0.54,0.55,
GJ 3512,GJ 3512 b,203.59000000,0.338000,0.435600,0.46300,,3081.00,0.12,0.14,-2.804
GJ 357,GJ 357 b,3.93072000,0.035000,,0.00579,0.109,3505.00,0.34,0.34,-1.798
GJ 357,GJ 357 c,9.12470000,0.061000,,0.01070,,3505.00,0.34,0.34,-1.798
GJ 357,GJ 357 d,55.66100000,0.204000,,0.01919,,3505.00,0.34,0.34,-1.798
GJ 3634,GJ 3634 b,2.64561000,0.028700,0.080000,0.02600,,,0.45,0.43,-1.699
GJ 3779,GJ 3779 b,3.02320000,0.026000,0.070000,0.02517,,3324.00,0.27,0.28,-2.062
GJ 3942,GJ 3942 b,6.90500000,0.060800,0.121000,0.02246,,3867.00,0.63,0.61,-1.120
GJ 3998,GJ 3998 b,2.64977000,0.029000,0.000000,0.00777,,3722.00,0.50,0.49,-1.387
GJ 3998,GJ 3998 c,13.74000000,0.089000,0.049000,0.01970,,3722.00,0.50,0.49,-1.387
GJ 411,GJ 411 b,12.95320000,0.078500,0.220000,0.00941,,3563.00,0.39,0.39,-1.658
GJ 422,GJ 422 b,20.12900000,0.111000,0.110000,0.03483,,,0.35,,
GJ 4276,GJ 4276 b,13.35200000,0.082000,0.370000,0.05213,,3387.00,0.41,0.41,-1.706
GJ 433,GJ 433 b,7.37050000,0.062000,0.040000,0.01901,,,0.48,,
GJ 433,GJ 433 c,5094.10500000,4.819000,0.120000,0.10201,,,0.48,,
GJ 433,GJ 433 d,36.05900000,0.178000,0.070000,0.01643,,,0.48,,
GJ 436,GJ 436 b,2.64388312,0.029100,0.138270,0.07000,0.372,,0.47,0.46,
GJ 504,GJ 504 b,,43.500000,,4.00000,,6234.00,1.22,,0.332
GJ 536,GJ 536 b,8.70760000,0.066610,0.080000,0.01686,,3685.00,0.52,0.50,-1.377
GJ 581,GJ 581 b,5.36860000,0.040610,0.000000,0.04970,,,0.31,0.29,-1.886
GJ 581,GJ 581 c,12.91400000,0.072100,0.000000,0.01730,,,0.31,0.29,-1.886
GJ 581,GJ 581 e,3.14900000,0.028150,0.000000,0.00530,,,0.31,0.29,-1.886
GJ 625,GJ 625 b,14.62800000,0.078361,0.130000,0.00887,,3499.00,0.30,0.31,-1.894
GJ 649,GJ 649 b,598.30000000,1.135000,0.300000,0.32800,,3700.00,0.54,,
GJ 667 C,GJ 667 C b,7.20040000,0.050500,0.130000,0.01800,,3350.00,0.33,,-1.863
GJ 667 C,GJ 667 C c,28.14000000,0.125000,0.020000,0.01200,,3350.00,0.33,,-1.863
GJ 667 C,GJ 667 C e,62.24000000,0.213000,0.020000,0.00800,,3350.00,0.33,,-1.863
GJ 667 C,GJ 667 C f,39.02600000,0.156000,0.030000,0.00800,,3350.00,0.33,,-1.863
GJ 667 C,GJ 667 C g,256.20000000,0.549000,0.080000,0.01400,,3350.00,0.33,,-1.863
GJ 674,GJ 674 b,4.69380000,0.039000,0.200000,0.03500,,3600.00,0.35,,-1.796
GJ 676 A,GJ 676 A b,1056.80005000,1.820000,0.330000,4.96000,,3734.00,0.73,0.69,
GJ 676 A,GJ 676 A c,7337.00000000,6.600000,,6.80000,,3734.00,0.73,0.69,
GJ 676 A,GJ 676 A d,3.60050000,,0.262000,0.01400,,3734.00,0.73,0.69,
GJ 676 A,GJ 676 A e,35.39000000,,0.125000,0.02500,,3734.00,0.73,0.69,
GJ 682,GJ 682 b,17.47800000,0.080000,0.080000,0.01384,,3028.00,0.27,,-2.699
GJ 682,GJ 682 c,57.32000000,0.176000,0.100000,0.02737,,3028.00,0.27,,-2.699
GJ 685,GJ 685 b,24.16000000,0.134400,0.000000,0.02832,,3816.00,0.55,0.54,-1.253
GJ 687,GJ 687 b,38.14000000,0.170000,0.040000,0.06000,,3340.00,0.45,0.43,
GJ 832,GJ 832 b,3657.00000000,3.560000,0.080000,0.68000,,3472.00,0.45,,-1.585
GJ 832,GJ 832 c,35.68000000,0.163000,0.180000,0.01700,,3472.00,0.45,,-1.585
GJ 849,GJ 849 b,1882.00000000,2.350000,0.040000,1.00000,,3241.00,0.65,0.53,
GJ 86,GJ 86 b,15.76491000,0.110000,0.040000,4.42000,,5182.00,0.93,0.77,
GJ 876,GJ 876 b,61.11660000,0.208317,0.032400,2.27560,,,0.32,0.30,-1.907
GJ 876,GJ 876 c,30.08810000,0.129590,0.255910,0.71420,,,0.32,0.30,-1.907
GJ 876,GJ 876 d,1.93778000,0.020807,0.207000,0.02100,,,0.32,0.30,-1.907
GJ 876,GJ 876 e,124.26000000,0.334300,0.055000,0.04600,,,0.32,0.30,-1.907
GJ 96,GJ 96 b,73.94000000,0.291000,0.440000,0.06186,,3785.00,0.60,,-1.052
GJ 9827,GJ 9827 b,1.20898190,0.018800,0.000000,0.01545,0.141,4340.00,0.61,0.60,
GJ 9827,GJ 9827 c,3.64809570,0.039250,0.000000,0.00264,0.111,4340.00,0.61,0.60,
GJ 9827,GJ 9827 d,6.20146980,0.055910,0.000000,0.01271,0.180,4340.00,0.61,0.60,
GQ Lup,GQ Lup b,,100.000000,,20.00000,3.000,,0.70,,
GSC 06214-00210,GSC 06214-00210 b,,320.000000,,16.00000,,4200.00,0.90,,-0.420
GU Psc,GU Psc b,,2000.000000,,11.30000,1.265,,0.33,,
Gl 378,Gl 378 b,3.82200000,0.039435,0.109000,0.04097,,3879.00,0.56,0.56,-1.222
Gl 49,Gl 49 b,13.85080000,0.090500,0.363000,0.01771,,3805.00,0.52,0.51,-1.306
Gl 686,Gl 686 b,15.53140000,0.091700,0.077000,0.02089,,3663.00,0.42,0.42,-1.553
HAT-P-1,HAT-P-1 b,4.46529976,0.055610,,0.52500,1.319,5980.00,1.15,1.17,
HAT-P-11,HAT-P-11 b,4.88780244,0.052540,0.218000,0.07362,0.389,4780.00,0.81,0.68,
HAT-P-11,HAT-P-11 c,3407.00000000,4.130000,0.601000,1.59519,,4780.00,0.81,0.68,
HAT-P-12,HAT-P-12 b,3.21305980,0.038400,0.000000,0.21100,0.959,4650.00,0.73,0.70,-0.678
HAT-P-13,HAT-P-13 b,2.91625000,,0.013300,0.85100,1.272,5653.00,1.22,1.56,0.346
HAT-P-13,HAT-P-13 c,446.27000000,,0.661600,14.28000,,5653.00,1.22,1.56,0.346
HAT-P-14,HAT-P-14 b,4.62767000,,0.110000,3.44000,1.420,6600.00,2.65,1.82,
HAT-P-15,HAT-P-15 b,10.86350000,,0.190000,1.94000,1.060,5568.00,1.00,1.07,
HAT-P-16,HAT-P-16 b,2.77596000,0.041300,0.036000,4.19300,1.289,6158.00,1.22,1.24,0.294
HAT-P-17,HAT-P-17 b,10.33852000,,0.350000,0.58000,1.050,5246.00,0.99,0.87,
HAT-P-17,HAT-P-17 c,5584.00000000,5.600000,0.390000,3.40000,,5246.00,0.99,0.87,
HAT-P-18,HAT-P-18 b,5.50802300,0.055900,0.084000,0.19700,0.995,4803.00,0.77,0.75,-0.569
HAT-P-19,HAT-P-19 b,4.00877800,0.046600,0.067000,0.29200,1.132,4990.00,0.84,0.82,-0.432
HAT-P-2,HAT-P-2 b,5.63351580,0.068140,0.517200,8.62000,,6380.00,1.33,1.39,0.530
HAT-P-20,HAT-P-20 b,2.87531700,0.036100,0.015000,7.24600,0.867,4595.00,0.76,0.69,-0.721
HAT-P-21,HAT-P-21 b,4.12448000,,0.230000,4.87000,1.110,5588.00,1.24,1.21,
HAT-P-22,HAT-P-22 b,3.21222000,,0.020000,2.47000,1.150,5302.00,1.13,1.11,
